,50 B off 1,,,,,50 B off 2,,,,,50 B on 1,,,,,50 B on 2,,,,,50 Z off,,,,,50 Z on 1,,,,,50 Z on 2,,,,
,BUS,MOTC,CAR,DELIV,TRUCK,BUS,MOTC,CAR,DELIV,TRUCK,BUS,MOTC,CAR,DELIV,TRUCK,BUS,MOTC,CAR,DELIV,TRUCK,BUS,MOTC,CAR,DELIV,TRUCK,BUS,MOTC,CAR,DELIV,TRUCK,BUS,MOTC,CAR,DELIV,TRUCK
685,0,1,39,6,5,0,1,25,4,7,0,0,2,0,0,0,1,23,3,5,0,1,25,4,7,0,1,24,4,7,0,1,42,6,6
690,0,1,40,6,4,0,1,26,4,6,0,0,2,0,0,0,1,24,4,5,0,1,26,4,6,0,1,25,4,7,0,2,43,7,5
695,0,1,45,6,5,0,1,29,4,7,0,0,3,0,0,0,1,27,3,5,0,1,29,4,7,0,1,28,3,7,0,2,49,6,6
700,0,2,44,6,4,0,1,29,4,5,0,0,3,0,0,0,1,26,4,4,0,1,29,4,5,0,1,28,4,6,0,2,48,7,4
705,0,1,44,6,4,0,1,29,4,6,0,0,3,0,0,0,1,26,3,5,0,1,29,4,6,0,1,28,3,7,0,1,48,6,5
710,0,1,47,6,4,0,1,30,4,6,0,0,3,0,0,0,1,28,4,4,0,1,30,4,5,0,1,29,4,6,0,1,50,7,5
715,0,1,47,7,3,0,1,31,5,4,0,0,3,0,0,0,1,28,4,4,0,1,31,5,4,0,1,30,4,5,0,2,51,8,4
720,0,2,51,6,4,0,1,33,4,5,0,0,3,0,0,0,1,30,4,4,0,1,33,4,5,0,1,32,4,6,0,2,55,7,4
725,0,2,57,6,3,0,2,37,4,5,0,0,3,0,0,0,1,34,4,4,0,2,37,4,5,0,1,36,4,5,0,3,61,7,4
730,0,2,50,5,3,0,1,33,3,5,0,0,3,0,0,0,1,30,3,4,0,1,32,3,5,0,1,31,3,5,0,2,54,6,4
735,0,2,45,5,3,0,1,29,3,4,0,0,3,0,0,0,1,27,3,4,0,1,29,3,4,0,1,28,3,5,0,2,49,5,4
740,0,1,42,5,3,0,1,27,3,4,0,0,3,0,0,0,1,25,3,3,0,1,27,3,4,0,1,26,3,4,0,2,45,5,3
